id_recurso,slug,titulo,autoria,anio,tipo_material,acceso,fuente_url,resumen,unidad_principal,unidades_relacionadas,niveles,estado_editorial
HIST2_0001,dictadura-porfirista,La dictadura porfirista,No identificada en el PDF consultado,2015,Exposición histórica digital,Abierto,https://www.inehrm.gob.mx/es/inehrm/La_Dictadura_Porfirista,"La exposición explica el ascenso de Porfirio Díaz desde sus conflictos con Juárez y Lerdo de Tejada, su llegada al poder mediante Tuxtepec y la consolidación de un régimen personalista. Relaciona pacificación, positivismo y orden y progreso con modernización económica, pero contrapone sus beneficios a desigualdad, concentración de riqueza, pérdida de libertades y represión. Documenta la conciliación con la Iglesia, la oposición y las reelecciones. Cierra con la crisis electoral de 1910, el maderismo y el derrumbe del régimen.",Régimen Porfirista,Revolución Mexicana,introductorio|intermedio,en_revision
HIST2_0002,yaquis-memoria-territorio-participacion-politica,"Yaquis. Memoria, territorio y participación política",Regina Tapia y Veremundo Carrillo Reveles (coordinadores); obra colectiva de siete capítulos con autorías identificadas en el índice.,2025,Libro colectivo de investigación histórica,Abierto,https://www.inehrm.gob.mx/recursos/Libros/2025_yaquis_memoria_territorio_yparticipacion_politica.pdf,"Este libro colectivo estudia la historia yaqui desde tres ejes: territorio, participación política y memoria. Explica el sentido cultural del valle y el río, el despojo asociado a la mercantilización de la tierra a finales del siglo XIX y las posibilidades, límites y continuidades del reparto agrario posrevolucionario. Analiza estrategias de agencia, negociación, rebelión, elecciones y protesta pacífica; recupera las memorias de mujeres sobre guerra y deportación; y problematiza las políticas de incorporación nacional entre 1935 y 1951. Un capítulo final relaciona la resistencia histórica con conflictos hídricos contemporáneos.",Régimen Porfirista,Revolución Mexicana|Estado surgido de la Revolución|Neoliberalismo y alternancia,intermedio|avanzado,en_revision
HIST2_0003,sistema-politico-mexicano,El sistema político mexicano,"Administración y Gestión Pública; docentes y responsable de carrera, Universidad Abierta y a Distancia de México",2016,Texto de apoyo,Abierto,https://dmd.unadmexico.mx/contenidos/DCSA/MODULOS/AGP/M4_AGSPAM/U2/S4/descargables/AGP_M4_U2_S4_TA.pdf,"El texto presenta el sistema político mexicano como resultado de procesos sociales, económicos, culturales e institucionales. Usa el Porfiriato y la Revolución como antecedentes, aborda la Constitución de 1917 y explica la organización del Ejecutivo, Legislativo, Judicial y sistema federal. Después desarrolla partidos, sistema electoral, presidencialismo, cacicazgos y corporativismo, con atención a la formación del PNR y el PRM. También recorre movimientos estudiantiles, reforma política, crisis de los años ochenta, privatización y alternancia. Su perspectiva es panorámica e institucional, por lo que requiere mediación y contraste de sus interpretaciones.",Consolidación del sistema político autoritario,Estado surgido de la Revolución|Neoliberalismo y alternancia|Régimen Porfirista|Revolución Mexicana,intermedio|avanzado,en_revision
HIST2_0004,crisis-del-porfirismo,La Revolución y los revolucionarios. Tomo I: La crisis del Porfirismo,José C. Valadés,2013,Fuente primaria / documental,Abierto,https://inehrm.gob.mx/work/models/inehrm/Resource/455/1/images/Tomo_I.pdf,"El volumen reúne artículos, entrevistas y reportajes de José C. Valadés que documentan manifestaciones de descontento político y social durante el final del Porfiriato. El índice organiza relatos sobre Catarino Garza, Teresa Urrea y la rebelión de Tomóchic, Santanón, acciones de 1906, maderismo, Ramón Corral, reyismo y precursores de Madero. La obra permite examinar oposiciones regionales, represión, disputas entre élites y redes periodísticas como antecedentes del proceso revolucionario. Por su naturaleza testimonial y periodística, conviene contrastar voces, fechas y valoraciones con estudios historiográficos recientes.",Régimen Porfirista,Revolución Mexicana,avanzado,en_revision
HIST2_0005,maderismo,La Revolución y los revolucionarios. Tomo II: Maderismo,José C. Valadés,2014,Fuente primaria / documental,Abierto,https://inehrm.gob.mx/work/models/inehrm/Resource/455/1/images/LaRevolucionRevolucionarioTII.pdf,"El tomo examina el maderismo mediante seis núcleos: la insurrección de 1910 en Sinaloa, los Tratados de Ciudad Juárez, memorias y documentos sobre Francisco I. Madero, los últimos días de su gobierno, documentos del archivo de Pablo González sobre su muerte y entrevistas a Félix Díaz y José de la Luz Blanco. Permite analizar cómo la correspondencia y los testimonios ponen en tensión versiones sobre el antirreeleccionismo, las negociaciones de 1911, el proyecto democrático maderista y la Decena Trágica. Su carácter testimonial y periodístico exige contextualizar la perspectiva de Valadés y contrastar documentos, silencios e interpretaciones.",Revolución Mexicana,,avanzado,en_revision
HIST2_0006,revolucion-constitucionalista,La Revolución y los revolucionarios. Tomo III: La revolución constitucionalista,José C. Valadés,2014,Fuente primaria / documental,Abierto,https://inehrm.gob.mx/work/models/inehrm/Resource/455/1/images/Tomo_III.pdf,"El tomo presenta la revolución constitucionalista desde materiales documentales y testimoniales vinculados a múltiples facciones del segundo decenio del siglo XX. La presentación institucional destaca las trayectorias conflictivas de Venustiano Carranza frente a Victoriano Huerta, Félix Díaz, Francisco Villa y Emiliano Zapata. En el facsímil se identifica una sección dedicada al carrancismo a partir del archivo de Carranza y a su actuación en los últimos días de Madero. Es un recurso pertinente para analizar legitimidad, conflicto entre facciones y construcción de versiones históricas, siempre mediante lectura selectiva y contraste historiográfico.",Revolución Mexicana,,avanzado,en_revision
HIST2_0007,teorizando-revolucion-mexicana,Teorizando sobre la Revolución Mexicana: interpretaciones de sus historiadores y cronistas,Juan Gómez-Quiñones,2015,Ensayo académico,Abierto,https://inehrm.gob.mx/recursos/Libros/TeorizandoSobreRevolucionMex.pdf,"La obra cuestiona las explicaciones fragmentarias de la Revolución Mexicana y propone entenderla como un proceso social, político, económico y cultural de larga duración. Revisa cuatro explicaciones historiográficas, periodiza el proceso entre 1899 y 1940 y desarrolla un paradigma incluyente que examina mujeres, élites, obreros, pueblos indígenas, fuerzas armadas, intereses estadounidenses, Estado, género, raza, clase, etnicidad, cultura y espacio. Es una lectura para problematizar conceptos, comparar interpretaciones y reconocer que las categorías historiográficas también contienen decisiones teóricas y políticas.",Revolución Mexicana,Régimen Porfirista|Estado surgido de la Revolución,avanzado,en_revision
HIST2_0008,documentos-fundamentales-revolucion-mexicana,Documentos fundamentales de la Revolución Mexicana,Selección de documentos: Rafael Hernández Ángeles. Edición institucional del Instituto Nacional de Estudios Históricos de las Revoluciones de México (INEHRM).,2021,Compilación de fuentes primarias y documentales,Abierto,https://www.inehrm.gob.mx/recursos/Libros/Documentos_fundamentales_de_la_Revolucion_Mexicana.pdf,"La compilación permite estudiar la Revolución Mexicana mediante las voces normativas, políticas y periodísticas de sus actores y de los procesos que prolongaron sus reformas. Incluye antecedentes como el Programa del Partido Liberal Mexicano; documentos de la lucha revolucionaria —Plan de San Luis, Tratados de Ciudad Juárez, Plan de Ayala, Plan de Guadalupe y sus adiciones—; la Ley Agraria, el Pacto con la Casa del Obrero Mundial y artículos de la Constitución de 1917; así como documentos del cardenismo y de ampliación de derechos sociales y políticos. Su uso exige distinguir autoría, fecha, tipo de documento, propósito y límites de cada fuente.",Revolución Mexicana,Régimen Porfirista|Estado surgido de la Revolución|Consolidación del sistema político autoritario,intermedio|avanzado,en_revision
HIST2_0009,historia-militar-revolucion-epoca-maderista-tomo-1,Historia militar de la Revolución en la época maderista. Tomo I,Miguel A. Sánchez Lamego.,2020,Estudio histórico militar,Abierto,https://inehrm.gob.mx/recursos/Libros/HistoriaMilitarEpocaMaderistaT1.pdf,"El tomo presenta una interpretación militar de los antecedentes de la Revolución y de los levantamientos maderistas iniciales. Describe las fuerzas gubernamentales y las fuerzas revolucionarias, y recorre la expansión del movimiento por Chihuahua, Coahuila, Nuevo León, Tamaulipas, Sonora, Baja California, Sinaloa, Nayarit, Durango, Zacatecas, San Luis Potosí, Michoacán, Jalisco, Colima, Guerrero, Morelos, Puebla, Tlaxcala, Veracruz, Oaxaca, Tabasco, Chiapas, Yucatán, Estado de México, Hidalgo, Querétaro, Guanajuato y Aguascalientes. Aporta una lectura regional y cronológica de la fase maderista, pero su énfasis en campañas, fuerzas y jefaturas debe complementarse con fuentes sobre demandas sociales, vida civil, pueblos indígenas y mujeres.",Revolución Mexicana,Régimen Porfirista,avanzado,en_revision
HIST2_0010,historia-militar-revolucion-epoca-maderista-tomo-2,Historia militar de la Revolución en la época maderista. Tomo II,Miguel A. Sánchez Lamego.,2020,Estudio histórico militar,Abierto,https://inehrm.gob.mx/recursos/Libros/HistoriaMilitarEpocaMaderistaT2.pdf,"El tomo explica que, tras los Tratados de Ciudad Juárez, persistieron levantamientos y revueltas durante el gobierno interino de Francisco León de la Barra y el gobierno de Francisco I. Madero. Estudia la revolución magonista vinculada con los hermanos Flores Magón y la consigna Tierra y Libertad, y sigue la revolución zapatista desde junio de 1911 hasta febrero de 1913. Describe el conflicto en Morelos, las campañas federales de Juvencio Robles y Felipe Ángeles, y las resonancias zapatistas en otros estados. Es útil para comparar proyectos revolucionarios, estrategias de conflicto y escalas regionales, con la reserva de que privilegia la mirada militar y gubernamental.",Revolución Mexicana,Régimen Porfirista,avanzado,en_revision
