pagina,indice,texto,href,tipo,estado,destino,observacion,decision_revisor,evidencia_revisor
/404.html,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/404.html: destino local presente en dist/.
/404.html,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/404.html: destino local presente en dist/.
/404.html,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/404.html: destino local presente en dist/.
/404.html,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/404.html: destino local presente en dist/.
/404.html,5,Orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/404.html: destino local presente en dist/.
/404.html,6,Acerca,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/404.html: destino local presente en dist/.
/404.html,7,Volver al catálogo,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/404.html: destino local presente en dist/.
/404.html,8,Metodología y límites,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/404.html: destino local presente en dist/.
/404.html,9,Navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/404.html: destino local presente en dist/.
/acerca/,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,5,Orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,6,Acerca,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,7,Explorar las lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,8,Consultar la navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,9,Metodología y límites,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/acerca/: destino local presente en dist/.
/acerca/,10,Navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/acerca/: destino local presente en dist/.
/,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/: destino local presente en dist/.
/,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/: destino local presente en dist/.
/,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/: destino local presente en dist/.
/,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/: destino local presente en dist/.
/,5,Orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/: destino local presente en dist/.
/,6,Acerca,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/: destino local presente en dist/.
/,7,Explorar las lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/: destino local presente en dist/.
/,8,Consultar orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/: destino local presente en dist/.
/,9,01 Unidad 1 Régimen Porfirista,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/: destino local presente en dist/.
/,10,02 Unidad 2 Revolución Mexicana,/unidades/revolucion-mexicana/,ruta_interna,resuelto_localmente,/unidades/revolucion-mexicana/,,aprobado,/: destino local presente en dist/.
/,11,03 Unidad 3 Estado surgido de la Revolución,/unidades/estado-surgido-de-la-revolucion/,ruta_interna,resuelto_localmente,/unidades/estado-surgido-de-la-revolucion/,,aprobado,/: destino local presente en dist/.
/,12,04 Unidad 4 Consolidación del sistema político autoritario,/unidades/consolidacion-sistema-politico-autoritario/,ruta_interna,resuelto_localmente,/unidades/consolidacion-sistema-politico-autoritario/,,aprobado,/: destino local presente en dist/.
/,13,05 Unidad 5 Neoliberalismo y alternancia,/unidades/neoliberalismo-y-alternancia/,ruta_interna,resuelto_localmente,/unidades/neoliberalismo-y-alternancia/,,aprobado,/: destino local presente en dist/.
/,14,Ver las 20 lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/: destino local presente en dist/.
/,15,La dictadura porfirista,/lecturas/dictadura-porfirista/,ruta_interna,resuelto_localmente,/lecturas/dictadura-porfirista/,,aprobado,/: destino local presente en dist/.
/,16,Régimen Porfirista,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/: destino local presente en dist/.
/,17,Consultar lectura y ficha →,/lecturas/dictadura-porfirista/,ruta_interna,resuelto_localmente,/lecturas/dictadura-porfirista/,,aprobado,/: destino local presente en dist/.
